sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_00022,miura,22,1,24,9,0.0006249464063375,0.0041697309145769,0.0039472517232898,2987954644.9857,2504605757.48993,107589.261936142,33375.4445129431,16954.0796155638,11131.4414081084,20898.3315868322,223310.521979195
miura_00001,miura,1,1,24,9,0.0005335106221225,0.0032523637718859,0.0018671621186657,2524177304.62651,3215885086.86058,133869.551931075,40705.0730782034,18639.255146931,12418.981920453,23592.906128434,250199.689454778
tmp_00001,tmp,1,2,24,6,0.0009261572086713,0.0056469626884093,0.0012802746146034,4861495907.52392,2378803139.12058,106376.983768189,11203.3706816554,1113.74556827394,153195.752844373,182505.858120796,253193.851389181
miura_00014,miura,14,1,24,6,0.0005166277491054,0.0032517209629375,0.0034588017653271,3915574868.22988,1802599110.46491,76981.3106525717,26289.4407749262,13444.6006827123,8420.56309865375,15224.6925105527,119843.572423474
miura_00016,miura,16,1,36,12,0.000792109956113,0.0043465801083396,0.001366249251207,4465076590.2748,4852149434.32523,445112.63180619,111724.897822492,30455.5225218722,123358.146288139,202141.170310471,1056945.69401555
miura_00012,miura,12,1,30,9,0.000677951837679,0.0027244071431557,0.0037265369972995,3752173143.3727,4155232492.76764,66204.6931049585,21192.6924221999,12496.2091334305,20533.7566249411,34716.3309009395,235850.380530767
miura_00018,miura,18,1,24,9,0.0006648421516565,0.0048715985763138,0.003441190811756,2912527609.06578,2734321200.02512,201029.334224144,60206.7779326139,25471.5911531028,15477.6952007245,30219.3855531383,336628.328232937
miura_00002,miura,2,1,36,6,0.0006158097192791,0.0053472582086577,0.0030026121787615,4387656204.1285,3525808233.69093,383991.359302586,167436.945540865,50796.9204307806,27604.6091651444,55164.2092642921,408322.029621885
miura_00005,miura,5,1,36,9,0.0005320391662636,0.0039478754500165,0.0032473431852596,1467340479.81424,4395060617.92979,228927.357393849,69206.1216586128,25371.6651515964,8075.66071832058,18943.9415701235,274652.436708387
miura_00006,miura,6,1,30,12,0.0006934783295076,0.0035189103745955,0.0031719242165731,1735003817.20226,2820997443.10931,68335.8668182171,20410.1632919412,9973.16666617711,13106.8232391777,23300.6760413162,212163.799022804
miura_00003,miura,3,1,36,9,0.0008823691998597,0.00496421459441,0.0022788205800185,1508184050.47757,4519218088.69084,501290.919216185,148242.860099923,42065.6466622647,38814.6635536106,74855.7416017229,616917.192224209
miura_00025,miura,25,1,24,12,0.000884688674128,0.0013722951019441,0.001306835151788,1377810646.10708,2821373631.0951,9552.55990592778,3350.98297250695,3013.49683339492,34490.0249440494,56110.6798001442,282367.852071375
miura_00004,miura,4,1,30,9,0.000724403307076,0.0015040919902165,0.0023621363656088,4745892771.55499,4386203973.0984,20123.0417247731,6830.27008845333,5456.1407822165,44203.7061503281,69487.8254479921,296683.396228401
miura_00024,miura,24,1,30,12,0.000862004678022,0.0044092836989687,0.003174235593041,3485128558.57737,3814916317.68581,173250.608504096,49251.1991534941,19981.3348899712,47050.7681123706,80615.6835385225,567387.233319378
miura_00026,miura,26,1,30,6,0.0008614607272876,0.0031317066675958,0.0023743392130135,4111391931.90406,3947755820.40755,202129.511900792,73937.6682367225,29478.1490153863,63838.6984552913,101100.353400143,416933.196894057
miura_00019,miura,19,1,36,12,0.000596331459894,0.0010167796747473,0.0012720147655542,2694765647.31708,4768434540.73405,8886.14495477368,3010.49333995366,2497.21084575531,32309.0618697945,50688.3628276448,227691.932227353
tmp_00003,tmp,3,2,36,12,0.0005313802724473,0.0034348985185455,0.0036910710147471,1299381932.83118,4777049921.04826,20233.8571862237,4285.42028166982,868.765990681124,7144.17376545976,14539.9669101723,69697.2552703301
miura_00021,miura,21,1,36,12,0.000714018062729,0.0036865497267651,0.0031850708281006,2578852180.4759,3308332696.44308,101202.266140132,29074.4950013646,11986.3693522246,24028.419146629,41217.4918368646,298338.298883899
miura_00008,miura,8,1,24,12,0.0008768414349565,0.0013268535586359,0.002376586600903,4836417092.43767,3788052106.12506,6933.11314155766,2650.17092496789,3197.13297805199,62164.6987230109,100070.294457203,450372.345177969
miura_00011,miura,11,1,36,6,0.0009419136206572,0.0043981018833839,0.0011592443733065,1457970343.81322,2872391620.04082,289593.133991569,133938.67376722,37636.3912613448,72794.670172513,115012.703963954,434942.600228238
miura_00015,miura,15,1,36,9,0.0005906723271549,0.0023758202091086,0.0039880607905352,3779913664.45176,1047144086.13125,12175.9202013282,3897.88101304774,2256.27945152868,13865.4210708416,21578.4103430472,90826.5499987141
miura_00020,miura,20,1,36,9,0.0007369122720809,0.0057305312977659,0.0027291907938701,3715104344.50102,2294989500.80703,311639.192246058,91993.7362266784,25371.258832679,42398.5857987933,73728.7393389353,449543.820057943
miura_00007,miura,7,1,24,9,0.0008644569655374,0.0046056667392779,0.0012615881846511,2094563741.14635,1576200699.18252,216144.766237766,60676.6357373499,18508.191305863,52470.936717988,87465.9214841538,459509.656847598
