sample_id,source_name,source_row,curve_id,load_case,deployment,response_axis,pattern,m,n,tcrease,tpanel,W,creaseE,panelE
miura_00001,miura,1,0,bending,0.3,z,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00001,miura,1,1,bending,0.6,z,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00001,miura,1,2,bending,0.9,z,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00001,miura,1,3,axial,0.3,x,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00001,miura,1,4,axial,0.6,x,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00001,miura,1,5,axial,0.9,x,1,24,9,0.0005335106221225,0.00325236377188592,0.00186716211866577,2524177304.62651,3215885086.86058
miura_00002,miura,2,0,bending,0.3,z,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00002,miura,2,1,bending,0.6,z,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00002,miura,2,2,bending,0.9,z,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00002,miura,2,3,axial,0.3,x,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00002,miura,2,4,axial,0.6,x,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00002,miura,2,5,axial,0.9,x,1,36,6,0.000615809719279119,0.00534725820865777,0.00300261217876159,4387656204.1285,3525808233.69093
miura_00003,miura,3,0,bending,0.3,z,1,36,9,0.000882369199859756,0.00496421459441006,0.00227882058001851,1508184050.47757,4519218088.69084
