sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_00969,miura,969,1,36,12,0.0009419413350974,0.0059268602634332,0.0035203272281501,3865956487.92995,3378827887.70279,333509.68742369,87178.6397649975,26349.5742975992,72349.6337136781,122348.528891605,758440.687028517
miura_00241,miura,241,1,30,12,0.000885887486807,0.0018579192877962,0.0024655146834752,1696203228.32295,4387667854.28038,21789.5594298794,7266.24136994357,5563.13019728229,30032.2929122862,49261.011757764,286680.696078092
miura_00820,miura,820,1,36,12,0.0009638238367534,0.0015659896934588,0.0027529247348899,1899452574.67715,4836647943.05977,15084.1241878479,5060.81664610986,4034.57928425497,44790.1119105378,70607.3090698615,328801.193585652
miura_00693,miura,693,1,24,9,0.000828831379699,0.0034999402189871,0.0024225034928048,4159709980.51205,1842177189.51895,75584.4000200652,23167.7552665579,11085.8704108016,46378.6666874621,75262.7925062929,368127.322786665
miura_00421,miura,421,1,24,6,0.0008409402471199,0.0030697607603488,0.0015406422276912,1162153950.33788,4968661389.32096,323463.515894254,113305.257857074,45565.1198013069,24762.4198803949,47340.342643973,391513.564077961
miura_01086,miura,1086,1,36,6,0.0008434528258924,0.0048321859414668,0.0021827353513379,3296538595.4461,1698612754.88333,172124.77970895,76211.0106408658,22824.0799179302,61292.5086071503,93556.1184917614,308915.849365139
miura_01999,miura,1999,1,24,12,0.0006116394040296,0.0058576286864448,0.0030308041020123,1475169511.67076,3504165882.25193,324868.019123241,88792.8734868952,32306.7668580339,10580.3359218188,25917.062885144,509387.289256804
miura_00366,miura,366,1,30,6,0.0007523630499693,0.0057211413723446,0.0027514939072334,2614556777.72421,4252266240.92079,633254.085542211,257046.040082535,78302.1540663511,29850.7524442472,67502.2842380584,621312.797411058
miura_01023,miura,1023,1,30,6,0.0008671872955732,0.0056988944949088,0.002987082801222,1134137977.16122,4183288316.98654,602515.388754848,242226.525299796,75164.0231825326,20479.0555566211,52358.9402186594,566627.824734669
miura_01241,miura,1241,1,36,6,0.0008677431069011,0.0036289164837984,0.0030478623701301,2931094705.0808,2832688138.64382,159732.131144871,63491.9027180844,22783.4951847027,44051.2555813389,69515.6059184131,282646.049651334
