sample_id,source_name,source_row,pattern,m,n,tcrease,tpanel,W,creaseE,panelE,bendstiff30,bendstiff60,bendstiff90,axialstiff30,axialstiff60,axialstiff90
miura_00013,miura,13,1,30,9,0.0009695058110685,0.0011996076252166,0.0029609242834405,4980021623.32524,1021675852.08106,2333.23777066176,853.433270772327,886.641010083469,64770.4323715121,91227.1923395597,180917.251348766
miura_00005,miura,5,1,36,9,0.0005320391662636,0.0039478754500165,0.0032473431852596,1467340479.81424,4395060617.92979,228927.357393849,69206.1216586128,25371.6651515964,8075.66071832058,18943.9415701235,274652.436708387
miura_00038,miura,38,1,36,12,0.0006084677179052,0.0014902522285354,0.0029100658643094,1389171773.44797,4214957649.50961,10684.5557248204,3644.48356354118,3111.39118127595,8567.17843022968,14289.7238950572,98895.0662423629
miura_00009,miura,9,1,24,9,0.0006013026349418,0.0040806185866416,0.0033118727379557,2203273995.30002,3500746813.44264,164919.225992508,50627.6409180823,24354.4658821746,9943.96183939382,20389.0455757056,282417.4329335
miura_00004,miura,4,1,30,9,0.000724403307076,0.0015040919902165,0.0023621363656088,4745892771.55499,4386203973.0984,20123.0417247731,6830.27008845333,5456.1407822165,44203.7061503281,69487.8254479921,296683.396228401
miura_00007,miura,7,1,24,9,0.0008644569655374,0.0046056667392779,0.0012615881846511,2094563741.14635,1576200699.18252,216144.766237766,60676.6357373499,18508.191305863,52470.936717988,87465.9214841538,459509.656847598
miura_00042,miura,42,1,30,9,0.000655367808138,0.0031503934259137,0.0039008326623588,1700881402.71313,1939324998.07219,44316.2360968663,13946.520059401,7443.91357306018,8408.96509131191,14684.461541361,115944.145925958
miura_00047,miura,47,1,24,6,0.0005316403211031,0.0021786273688258,0.0034398465169657,1986345569.76984,2059302735.47226,30852.2825036675,10619.5727044041,7365.75227029892,4676.83878046059,8251.64229063744,66111.8342247764
miura_00048,miura,48,1,30,9,0.0008210691249803,0.0052687524840249,0.0032002854342292,3181924451.25508,2900400199.59648,296983.38837048,86981.4632377617,29175.3694585304,37162.1373106874,66304.3956096061,482260.754106469
miura_00016,miura,16,1,36,12,0.000792109956113,0.0043465801083396,0.001366249251207,4465076590.2748,4852149434.32523,445112.63180619,111724.897822492,30455.5225218722,123358.146288139,202141.170310471,1056945.69401555
miura_00010,miura,10,1,36,6,0.0008443789150052,0.0015016769899582,0.001859856379822,1448779676.04526,3102171164.06426,34530.6356535428,12221.9097657827,6388.95299554111,31008.8087043053,46852.6117881781,152231.673893248
miura_00017,miura,17,1,30,9,0.0008954910945982,0.0016864393440123,0.0020981375390621,2843656353.98084,4845251916.34833,34188.0805749461,11262.4431268977,7770.54620695799,56557.5128053739,88877.5852173917,379132.382691366
miura_00025,miura,25,1,24,12,0.000884688674128,0.0013722951019441,0.001306835151788,1377810646.10708,2821373631.0951,9552.55990592778,3350.98297250695,3013.49683339492,34490.0249440494,56110.6798001442,282367.852071375
miura_00035,miura,35,1,30,12,0.0007318816255898,0.0032448876681212,0.0021299392420491,1310153498.01913,1446390627.37365,40025.9422566473,11653.7980415133,5162.03003707197,15729.765865366,26450.6261115696,170530.837052222
miura_00032,miura,32,1,30,12,0.0006459398424216,0.0048789069448601,0.0018738104924949,4042888909.4814,4732698207.33362,436074.176014346,113333.331204399,34894.0476762811,43121.7139631003,80937.6170674948,756912.511785386
miura_00001,miura,1,1,24,9,0.0005335106221225,0.0032523637718859,0.0018671621186657,2524177304.62651,3215885086.86058,133869.551931075,40705.0730782034,18639.255146931,12418.981920453,23592.906128434,250199.689454778
