epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.0019177808123640716,0.001853860504925251,0.006330190813168883,6.184180143463891e-05,0.0,0.0,0.004365186938084662,0.004327001152560115,0.0037643437832593917,5.4237144067883494e-05,0.0,0.0
2,0.0019296582438983023,0.001865409251768142,0.006363543029874563,6.135554234788287e-05,0.0,0.0,0.004166069608181715,0.004127866714261472,0.0037667680997401478,5.3522044618148355e-05,0.0,0.0
3,0.0018881891597993673,0.0018240796914324165,0.0063499243836849925,6.102402629039716e-05,0.0,0.0,0.004448904753662646,0.004410004382953048,0.0038356133829802273,5.443110218038782e-05,0.0,0.0
4,0.0018267150199972092,0.0017626449046656489,0.006346009699627757,6.100329832406715e-05,0.0,0.0,0.004284324650652707,0.004246585350483656,0.003720685439184308,5.325429287040606e-05,0.0,0.0
5,0.001896883719600737,0.0018326297961175442,0.006364570967853069,6.082209387386683e-05,0.0,0.0,0.004083426557481289,0.0040455648279748855,0.0037334414664655924,5.273515591397881e-05,0.0,0.0
6,0.0018031727941706776,0.001739559315610677,0.006300388285890222,6.0960353803238835e-05,0.0,0.0,0.004029353598598391,0.0039915287937037644,0.0037297066766768692,5.276835145195946e-05,0.0,0.0
7,0.0018192545953206718,0.0017550002038478852,0.006364721488207579,6.071670315577648e-05,0.0,0.0,0.00413611838594079,0.004098339844495058,0.0037256853748112917,5.21479090093635e-05,0.0,0.0
8,0.0018888795794919132,0.0018249060935340822,0.0063369096722453834,6.0437774154706856e-05,0.0,0.0,0.004211917016655207,0.004173903316259384,0.0037489107064902784,5.246753251412883e-05,0.0,0.0
9,0.001835755673237145,0.001771787430625409,0.006336509250104427,6.0315857408568265e-05,0.0,0.0,0.004053001150023192,0.004015274753328413,0.0037205605767667294,5.207445239648223e-05,0.0,0.0
10,0.0019096391997300089,0.0018456565216183663,0.006337996032088995,6.027168747095857e-05,0.0,0.0,0.004238261277787387,0.004200319123920053,0.003741444945335388,5.278501397697255e-05,0.0,0.0
11,0.0017984919110313059,0.0017348403809592128,0.006305280234664678,5.987326287140604e-05,0.0,0.0,0.004142950961831957,0.004105627855751664,0.003679833645001054,5.246716318652034e-05,0.0,0.0
12,0.001841339736711234,0.001777558506000787,0.006318000936880707,6.012244790326804e-05,0.0,0.0,0.004062167482916265,0.004024526460561902,0.0037118675839155914,5.223933752859011e-05,0.0,0.0
13,0.0018432115321047604,0.0017793887085281312,0.006322713159024715,5.956928587693255e-05,0.0,0.0,0.0043421321315690875,0.004303944543935358,0.003766429517418146,5.2309147140476856e-05,0.0,0.0
14,0.0018577003851532937,0.0017940405104309321,0.006306316871196031,5.9670327100320716e-05,0.0,0.0,0.004112986235413701,0.004075294693466276,0.0037171386834234,5.202305546845309e-05,0.0,0.0
15,0.001816945190075785,0.0017536403285339475,0.006270944885909557,5.954119114903733e-05,0.0,0.0,0.004204942039214074,0.004167459614109248,0.003696911232545972,5.132529942784459e-05,0.0,0.0
16,0.0017977827228605747,0.0017341600358486175,0.006302889930084348,5.9379333251854404e-05,0.0,0.0,0.004013652696739882,0.003976528288330883,0.0036607764195650816,5.166849645320326e-05,0.0,0.0
17,0.0018434599158354103,0.0017798150284215808,0.006305341171100736,5.914645524171647e-05,0.0,0.0,0.004602842419408262,0.004564963560551405,0.0037358733266592025,5.203500026254915e-05,0.0,0.0
18,0.001847222272772342,0.0017835048586130142,0.0063126634247601034,5.907681086682714e-05,0.0,0.0,0.004561370490118861,0.00452404803596437,0.0036812427453696726,5.0982843822566794e-05,0.0,0.0
19,0.0018417723313905298,0.0017781403474509715,0.006304249176755547,5.8948523437720724e-05,0.0,0.0,0.004099540417082608,0.0040625487244687975,0.0036484224908053873,5.074669417808764e-05,0.0,0.0
20,0.001804441746789962,0.001741174329072237,0.006267867283895612,5.8874546302831734e-05,0.0,0.0,0.004031615776475519,0.003994771768338979,0.003633579732850194,5.083720170659944e-05,0.0,0.0
21,0.0017940779123455286,0.0017309126211330294,0.006257780306041241,5.874962233065162e-05,0.0,0.0,0.004232942801900208,0.004195863045752048,0.0036571588274091483,5.0800692552002144e-05,0.0,0.0
22,0.0017820711340755225,0.0017185569391585886,0.006292789345607162,5.8630900821299295e-05,0.0,0.0,0.004083826134447009,0.004047112332191318,0.0036206463910639286,5.073774358606897e-05,0.0,0.0
23,0.0017368792043998837,0.0016737194452434779,0.006257629729807377,5.834669136675075e-05,0.0,0.0,0.004228349674958736,0.004191037153359503,0.0036798989307135345,5.136146282893606e-05,0.0,0.0
24,0.0018404946196824313,0.0017773764836601913,0.006253095595166087,5.8718543587019665e-05,0.0,0.0,0.004174441068898887,0.004137612783815712,0.003632050817832351,5.0781796453520655e-05,0.0,0.0
25,0.0018328094226308168,0.0017695947899483144,0.006263099247589708,5.836428790644277e-05,0.0,0.0,0.0041212091688066724,0.004084347463212908,0.0036354233045130966,5.073800624813885e-05,0.0,0.0
