sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_00257,3,1.0,1.0,36.0,36.0,9.0,9.0,0.0008886943687684834,0.0008905720897018909,0.0027388117741793394,0.0030735223554074764,0.0012901617446914315,0.0011429651640355587,4863286272.0,3961880832.0,1467752448.0,1278897536.0,0.00410509342327714
miura_00353,1,1.0,1.0,36.0,36.0,9.0,9.0,0.0005728459800593555,0.0009483834728598595,0.002296632854267955,0.004596035461872816,0.0010246281744912267,0.0033473207149654627,3146731264.0,2159575808.0,2771477504.0,1402166272.0,0.00194815534632653
miura_00299,0,1.0,1.0,36.0,36.0,6.0,6.0,0.000979201402515173,0.0006108432426117361,0.0057860324159264565,0.003952643368393183,0.003058312926441431,0.0011268239468336105,3510110464.0,4997448704.0,3305906176.0,4733733888.0,0.0010532067390158772
miura_00583,5,1.0,1.0,24.0,24.0,12.0,12.0,0.0007955332403071225,0.000848916417453438,0.005276709794998169,0.005359014496207237,0.0029316903091967106,0.0030078289564698935,3830192384.0,3239030528.0,4061518080.0,3968821504.0,0.0007581523386761546
miura_01290,2,1.0,1.0,30.0,36.0,12.0,12.0,0.0009053120156750083,0.0009937239810824394,0.0038263725582510233,0.00441199354827404,0.0017610412323847413,0.003229971509426832,1662840320.0,1906101120.0,1290117888.0,1453815040.0,0.0006805896409787238
miura_01767,0,1.0,1.0,36.0,36.0,9.0,12.0,0.0008405590779148042,0.0006301417015492916,0.0010493696900084615,0.0013661632547155023,0.001841855002567172,0.0014935439685359597,1191687680.0,2216371456.0,3229661440.0,1778541312.0,0.00035910666338168085
miura_00421,3,1.0,1.0,24.0,24.0,6.0,6.0,0.0008409402216784656,0.0008019839879125357,0.0030697607435286045,0.004986490122973919,0.0015406422317028046,0.003629982238635421,1162153984.0,3351790336.0,4968661504.0,3000634880.0,0.0029771628323942423
miura_01589,2,1.0,1.0,30.0,36.0,6.0,6.0,0.000712167180608958,0.000600051658693701,0.004376545082777739,0.0032667513005435467,0.0012889907229691744,0.0010009445250034332,4552457728.0,4411892736.0,2093221248.0,3801376000.0,0.001075488282367587
miura_00066,1,1.0,1.0,24.0,30.0,9.0,9.0,0.0008193912799470127,0.0009109284146688879,0.0048073516227304935,0.004124080762267113,0.002251142868772149,0.002491998951882124,3578892288.0,2088066688.0,2800041984.0,4487244800.0,0.0028386071790009737
miura_01613,5,1.0,1.0,36.0,30.0,12.0,12.0,0.0005586040788330138,0.0006507805082947016,0.0038698071148246527,0.005517756566405296,0.002839162712916732,0.0035210666246712208,1738334720.0,1565551488.0,2997436928.0,1794052608.0,0.023400139063596725
miura_00057,4,1.0,1.0,36.0,36.0,6.0,6.0,0.0007724798051640391,0.0007919429917819798,0.0024478884879499674,0.002105212304741144,0.002588221337646246,0.002165560843423009,3947015680.0,2972821760.0,3384840704.0,4139544320.0,0.0003166650130879134
miura_01999,7,1.0,1.0,24.0,24.0,12.0,12.0,0.0006116394069977105,0.000541499350219965,0.005857628770172596,0.0047264061868190765,0.0030308039858937263,0.002002590335905552,1475169536.0,1737961088.0,3504165888.0,4206770688.0,0.010447504930198193
miura_01119,2,1.0,1.0,36.0,36.0,9.0,9.0,0.000763692194595933,0.0008138533448800445,0.0024305765982717276,0.0034257667139172554,0.0010016943560913205,0.001592727261595428,3406912512.0,4257854464.0,3291880192.0,2410949120.0,0.003156105289235711
miura_00584,1,1.0,1.0,36.0,36.0,9.0,9.0,0.0007318892749026418,0.0008896544459275901,0.004654326010495424,0.004889282397925854,0.002459855517372489,0.0025600045919418335,3348417792.0,1726027008.0,1209683328.0,1277652992.0,0.0027530554216355085
miura_01234,7,1.0,1.0,24.0,24.0,6.0,6.0,0.000550534634385258,0.00075815204763785,0.005541255697607994,0.0055121686309576035,0.00194882124196738,0.0016357195563614368,3803981056.0,1121771904.0,4902670848.0,4625089024.0,0.004890574142336845
miura_00317,4,1.0,1.0,36.0,36.0,6.0,6.0,0.0005708108656108379,0.000692162022460252,0.0030502795707434416,0.0031792502850294113,0.003291746834293008,0.0028640530072152615,3227206912.0,1656388096.0,4934753280.0,4502735872.0,0.0024861616548150778
miura_00746,7,1.0,1.0,36.0,36.0,9.0,9.0,0.0008923718705773354,0.0005154614918865263,0.0030871855560690165,0.0025536937173455954,0.0024837367236614227,0.0014893297338858247,1295843968.0,3703864064.0,3521412096.0,4704777216.0,0.004952971823513508
miura_00129,1,1.0,1.0,30.0,36.0,6.0,6.0,0.0009797236416488886,0.000796677079051733,0.002629303140565753,0.0014013944892212749,0.0027973102405667305,0.0012896013213321567,4550394880.0,3536484096.0,2475034880.0,4996423680.0,0.0023950436152517796
miura_01444,4,1.0,1.0,24.0,30.0,6.0,6.0,0.0008160819415934384,0.0008087631431408226,0.0025011724792420864,0.0026656189002096653,0.0010166270658373833,0.0019148587016388774,3057813504.0,4421533696.0,3619054848.0,4758761472.0,0.0006000878056511283
miura_01514,3,1.0,1.0,24.0,24.0,9.0,12.0,0.0005746166571043432,0.0008862396935001016,0.0011405354598537087,0.0015057135606184602,0.002237155335023999,0.003519281279295683,4837798912.0,1957302656.0,2717237504.0,1455048192.0,0.0003800343838520348
miura_01801,0,1.0,1.0,36.0,30.0,9.0,12.0,0.0007022615754976869,0.000626851397100836,0.0010308140190318227,0.0013336181873455644,0.0030597003642469645,0.0018242687219753861,2063560064.0,2048328448.0,4020373248.0,1382607360.0,0.00042818847578018904
miura_00925,0,1.0,1.0,24.0,24.0,12.0,12.0,0.000661896716337651,0.000556802551727742,0.002512299455702305,0.0033350219018757343,0.0023123600985854864,0.003395122941583395,1012663872.0,2900251648.0,3886471936.0,2730806784.0,0.000871206633746624
miura_00481,3,1.0,1.0,24.0,36.0,9.0,9.0,0.0009714720072224736,0.0008733076974749565,0.003658200381323695,0.004692790564149618,0.0012276539346203208,0.003438003594055772,1030538112.0,2632605696.0,1127456768.0,1384806656.0,0.0013208576710894704
miura_01960,2,1.0,1.0,24.0,24.0,9.0,9.0,0.0008490889449603856,0.0009248057613149285,0.004131335765123367,0.004706969019025564,0.0028427469078451395,0.0033334209583699703,2283188992.0,2061017472.0,4355298304.0,3619236096.0,0.0010791808599606156
miura_00595,3,1.0,1.0,30.0,24.0,9.0,12.0,0.0005901381373405457,0.000735576672013849,0.0012435406679287553,0.001397000509314239,0.0032099115196615458,0.0019868500530719757,3432176640.0,1089831680.0,3748549632.0,1821834112.0,0.0002863123081624508
miura_00100,1,1.0,1.0,30.0,36.0,9.0,9.0,0.0008807730046100914,0.0009382070857100189,0.004316396079957485,0.004250827711075544,0.0012402357533574104,0.0012602186761796474,4756011520.0,3309093120.0,4139560448.0,4743487488.0,0.004786888603121042
miura_00417,5,1.0,1.0,30.0,36.0,9.0,9.0,0.0006181563949212432,0.0005773664452135563,0.005967211909592152,0.005381220486015081,0.0019510546699166298,0.0015242691151797771,3894526208.0,3225885440.0,1502329472.0,1938964352.0,0.00869760476052761
miura_00964,4,1.0,1.0,24.0,30.0,9.0,12.0,0.0006501969182863832,0.0007590512395836413,0.0015693936729803681,0.0015232643345370889,0.003965565003454685,0.003434468526393175,3989462528.0,1595238400.0,4366893056.0,4837720576.0,0.00024795843637548387
miura_00308,4,1.0,1.0,36.0,36.0,9.0,9.0,0.0008083628490567207,0.0008671321556903422,0.00346161681227386,0.00476569589227438,0.002693255664780736,0.0035726658534258604,3985252352.0,4160412160.0,2643820032.0,1758564608.0,0.0021874660160392523
miura_00030,2,1.0,1.0,30.0,36.0,9.0,9.0,0.0007329400978051126,0.0008492629276588559,0.004906185902655125,0.005907812155783176,0.0012088791700080037,0.0020759578328579664,4859648512.0,3976853760.0,1924407040.0,2047095808.0,0.00320257106795907
