sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse,closed_loop_selection_score
miura_00257,13,1.0,1.0,36.0,36.0,9.0,9.0,0.0008886943687684834,0.0008961957064457238,0.0027388117741793394,0.002575106220319867,0.0012901617446914315,0.0011027846485376358,4863286272.0,3733601024.0,1467752448.0,1591132800.0,0.002904646098613739,0.01644631288945675
miura_00353,4,1.0,1.0,36.0,36.0,9.0,9.0,0.0005728459800593555,0.0008428985020145774,0.002296632854267955,0.003076612250879407,0.0010246281744912267,0.001593866036273539,3146731264.0,1437731584.0,2771477504.0,2227548416.0,0.0012969119707122445,0.006505245342850685
miura_00299,8,1.0,1.0,36.0,36.0,6.0,6.0,0.000979201402515173,0.0007440439658239484,0.0057860324159264565,0.004083878360688686,0.003058312926441431,0.0015129974344745278,3510110464.0,3684726784.0,3305906176.0,4777622016.0,0.0007045462843962014,0.0007045462843962014
miura_00583,15,1.0,1.0,24.0,24.0,12.0,12.0,0.0007955332403071225,0.0006834533996880054,0.005276709794998169,0.004444205202162266,0.0029316903091967106,0.001966011244803667,3830192384.0,3960564480.0,4061518080.0,4695609344.0,0.0006532667903229594,0.0006532667903229594
miura_01290,1,1.0,1.0,30.0,36.0,12.0,12.0,0.0009053120156750083,0.0009406801545992494,0.0038263725582510233,0.0034085216466337442,0.0017610412323847413,0.002129304688423872,1662840320.0,1355808896.0,1290117888.0,2010440832.0,0.0007873520371504128,0.007558185141533613
miura_01767,14,1.0,1.0,36.0,24.0,9.0,9.0,0.0008405590779148042,0.0005772864678874612,0.0010493696900084615,0.0016849470557644963,0.001841855002567172,0.0017207568744197488,1191687680.0,4905310208.0,3229661440.0,1198642688.0,0.0009967860532924533,0.03641345351934433
miura_00421,4,1.0,1.0,24.0,24.0,6.0,6.0,0.0008409402216784656,0.0007504303939640522,0.0030697607435286045,0.0035746286157518625,0.0015406422317028046,0.002019520616158843,1162153984.0,2058952576.0,4968661504.0,4127175168.0,0.0014447912108153105,0.001965624513104558
miura_01589,9,1.0,1.0,30.0,30.0,6.0,6.0,0.000712167180608958,0.0007322331075556576,0.004376545082777739,0.004703053273260593,0.0012889907229691744,0.0013513948069885373,4552457728.0,4049948672.0,2093221248.0,1969019648.0,0.00027098870486952364,0.0007918220362626016
miura_00066,10,1.0,1.0,24.0,24.0,9.0,9.0,0.0008193912799470127,0.000907364534214139,0.0048073516227304935,0.004632771946489811,0.002251142868772149,0.002147207036614418,3578892288.0,2273638400.0,2800041984.0,2924666368.0,0.0010606423020362854,0.0010606423020362854
miura_01613,11,1.0,1.0,36.0,24.0,12.0,12.0,0.0005586040788330138,0.0007517712656408548,0.0038698071148246527,0.005674186162650585,0.002839162712916732,0.0034293171484023333,1738334720.0,1006209344.0,2997436928.0,1537618816.0,0.00922944862395525,0.016521114856004715
miura_00057,10,1.0,1.0,36.0,36.0,6.0,6.0,0.0007724798051640391,0.000628460431471467,0.0024478884879499674,0.0019531596917659044,0.002588221337646246,0.0018050868529826403,3947015680.0,4743360000.0,3384840704.0,4828443136.0,0.0005574484821408987,0.0021199483890086412
miura_01999,11,1.0,1.0,24.0,24.0,12.0,12.0,0.0006116394069977105,0.0005418335786089301,0.005857628770172596,0.004954264033585787,0.0030308039858937263,0.0023395721800625324,1475169536.0,1800774912.0,3504165888.0,4125861120.0,0.008767027407884598,0.015017027035355568
miura_01119,7,1.0,1.0,36.0,36.0,9.0,9.0,0.000763692194595933,0.0007863957434892654,0.0024305765982717276,0.00240664416924119,0.0010016943560913205,0.0010884539224207401,3406912512.0,3317600768.0,3291880192.0,3529868032.0,0.0009292095201089978,0.004575042985379696
miura_00584,14,1.0,1.0,36.0,36.0,9.0,9.0,0.0007318892749026418,0.0009312113979831338,0.004654326010495424,0.0046462672762572765,0.002459855517372489,0.0028298613615334034,3348417792.0,1511169152.0,1209683328.0,1549264640.0,0.005124966148287058,0.00824996642768383
miura_01234,13,1.0,1.0,24.0,24.0,6.0,6.0,0.000550534634385258,0.0007890482083894312,0.005541255697607994,0.00588382501155138,0.00194882124196738,0.0020163978915661573,3803981056.0,1267615360.0,4902670848.0,4568623616.0,0.003068565158173442,0.004110231995582581
miura_00317,11,1.0,1.0,36.0,30.0,6.0,6.0,0.0005708108656108379,0.0007147653377614915,0.0030502795707434416,0.003828702261671424,0.003291746834293008,0.002719796495512128,3227206912.0,1604525696.0,4934753280.0,2832515072.0,0.0012614817824214697,0.004907315131276846
miura_00746,9,1.0,1.0,36.0,36.0,9.0,9.0,0.0008923718705773354,0.0005475697107613087,0.0030871855560690165,0.0024614394642412663,0.0024837367236614227,0.0014239308657124639,1295843968.0,3034412544.0,3521412096.0,4719359488.0,0.0020758488681167364,0.0020758488681167364
miura_00129,15,1.0,1.0,30.0,36.0,6.0,6.0,0.0009797236416488886,0.0008913410711102188,0.002629303140565753,0.0020654085092246532,0.0027973102405667305,0.0025881652254611254,4550394880.0,4797895168.0,2475034880.0,3965634816.0,0.000758807931561023,0.004925474524497986
miura_01444,14,1.0,1.0,24.0,30.0,6.0,6.0,0.0008160819415934384,0.0007504697423428297,0.0025011724792420864,0.00240891776047647,0.0010166270658373833,0.0014672070974484086,3057813504.0,4577830912.0,3619054848.0,4880541184.0,0.00044820489711128175,0.00044820489711128175
miura_01514,13,1.0,1.0,24.0,24.0,9.0,9.0,0.0005746166571043432,0.0007591161993332207,0.0011405354598537087,0.001000364194624126,0.002237155335023999,0.0015967278741300106,4837798912.0,1333828608.0,2717237504.0,3291535360.0,0.0007635012152604759,0.030451001599431038
miura_01801,4,1.0,1.0,36.0,24.0,9.0,9.0,0.0007022615754976869,0.0007882890640757978,0.0010308140190318227,0.001000364194624126,0.0030597003642469645,0.001944929244928062,2063560064.0,1260307840.0,4020373248.0,2552353792.0,0.0006766161532141268,0.03973911702632904
miura_00925,10,1.0,1.0,24.0,24.0,12.0,12.0,0.000661896716337651,0.0005218290607444942,0.002512299455702305,0.003391549689695239,0.0023123600985854864,0.0035254640970379114,1012663872.0,3303330048.0,3886471936.0,2734184960.0,0.0014614085666835308,0.01604474149644375
miura_00481,5,1.0,1.0,24.0,36.0,9.0,9.0,0.0009714720072224736,0.0006027971976436675,0.003658200381323695,0.0026908754371106625,0.0012276539346203208,0.0014069483149796724,1030538112.0,3201882112.0,1127456768.0,2922937088.0,0.002128179417923093,0.005774012766778469
miura_01960,0,1.0,1.0,24.0,24.0,9.0,9.0,0.0008490889449603856,0.0007284536841325462,0.004131335765123367,0.0035234964452683926,0.0028427469078451395,0.0018618745962157845,2283188992.0,2341261312.0,4355298304.0,4778441216.0,0.0005902507691644132,0.0005902507691644132
miura_00595,15,1.0,1.0,30.0,30.0,9.0,12.0,0.0005901381373405457,0.0005016513168811798,0.0012435406679287553,0.0012704626424238086,0.0032099115196615458,0.0016892992425709963,3432176640.0,3189399296.0,3748549632.0,2890733824.0,0.004198939073830843,0.035448938608169556
miura_00100,9,1.0,1.0,30.0,36.0,9.0,9.0,0.0008807730046100914,0.0009329795138910413,0.004316396079957485,0.004235774278640747,0.0012402357533574104,0.00129462662152946,4756011520.0,3411086080.0,4139560448.0,4830841344.0,0.004331433214247227,0.004331433214247227
miura_00417,3,1.0,1.0,30.0,36.0,9.0,9.0,0.0006181563949212432,0.0005761253414675593,0.005967211909592152,0.005037760827690363,0.0019510546699166298,0.0020014967303723097,3894526208.0,3474260224.0,1502329472.0,2404178688.0,0.0028771688230335712,0.0028771688230335712
miura_00964,4,1.0,1.0,24.0,24.0,9.0,12.0,0.0006501969182863832,0.0005318292533047497,0.0015693936729803681,0.0019547573756426573,0.003965565003454685,0.002943117404356599,3989462528.0,4725727232.0,4366893056.0,3016281344.0,0.0016612508334219456,0.027702918276190758
miura_00308,14,1.0,1.0,36.0,36.0,9.0,9.0,0.0008083628490567207,0.0006719298544339836,0.00346161681227386,0.0024487024638801813,0.002693255664780736,0.0014760821359232068,3985252352.0,3482295296.0,2643820032.0,4292483072.0,0.0013039420591667295,0.0033872753847390413
miura_00030,13,1.0,1.0,30.0,36.0,9.0,9.0,0.0007329400978051126,0.0007821367471478879,0.004906185902655125,0.0051825987175107,0.0012088791700080037,0.0015521199675276875,4859648512.0,3977987584.0,1924407040.0,2252124672.0,0.0017497304361313581,0.002791397040709853
miura_00601,5,1.0,1.0,36.0,36.0,9.0,9.0,0.0008690423564985394,0.0005579006392508745,0.005269345827400684,0.004429036285728216,0.00188728841021657,0.0012449134374037385,2033439488.0,4802167808.0,4068958208.0,4519569408.0,0.00497395358979702,0.00497395358979702
miura_01720,11,1.0,1.0,36.0,36.0,9.0,9.0,0.0008411318412981927,0.0005605165497399867,0.0035136996302753687,0.002538117812946439,0.002884145360440016,0.0014638479333370924,1595075456.0,2490070272.0,2667323904.0,4256360704.0,0.003455346915870905,0.0039761802181601524
miura_00572,3,1.0,1.0,30.0,24.0,9.0,9.0,0.0005753986188210547,0.0007545566186308861,0.0038724823389202356,0.004273702390491962,0.003422698238864541,0.0029521447140723467,2630342656.0,1023443136.0,4813289984.0,3499367424.0,0.002520137233659625,0.007207637187093496
miura_00907,0,1.0,1.0,30.0,30.0,6.0,6.0,0.000981044489890337,0.000855859718285501,0.005973184015601873,0.005543663166463375,0.0019360738806426525,0.0013878934551030397,1908810752.0,2221835264.0,4460442624.0,4622766592.0,0.0031173338647931814,0.0031173338647931814
miura_01427,5,1.0,1.0,24.0,24.0,9.0,9.0,0.0008700801990926266,0.0006381094572134316,0.002393983770161867,0.0018017928814515471,0.0020767461974173784,0.0010873520513996482,1171529984.0,1630308992.0,1148788352.0,1658850816.0,0.0006347649032250047,0.017822265625
miura_01261,6,1.0,1.0,24.0,24.0,12.0,12.0,0.0006219602073542774,0.0005427389987744391,0.0014210825320333242,0.001605931087397039,0.0019285838352516294,0.002736857859417796,1195375360.0,2625657088.0,3652513280.0,3256904448.0,0.00036749179707840085,0.03942999243736267
miura_00847,10,1.0,1.0,24.0,24.0,6.0,6.0,0.0008568317862227559,0.0006040081498213112,0.0016625936841592193,0.0012430081842467189,0.003962945193052292,0.0015418805414810777,2377660160.0,2845711360.0,3716887040.0,4322130944.0,0.0005305178929120302,0.008863851428031921
miura_01291,9,1.0,1.0,24.0,24.0,9.0,9.0,0.0008012690814211965,0.0007231433992274106,0.0025874630082398653,0.0017513175262138247,0.0029849885031580925,0.0012552873231470585,3706889984.0,2265878016.0,3497678336.0,4518547968.0,0.0017734714783728123,0.005419304594397545
