sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse,closed_loop_selection_score
miura_00257,14,1.0,1.0,36.0,36.0,9.0,9.0,0.0008886943687684834,0.0008936729282140732,0.0027388117741793394,0.0028854620177298784,0.0012901617446914315,0.0011288945097476244,4863286272.0,4184502528.0,1467752448.0,1285801216.0,0.0019459674367681146,0.11444596946239471
miura_00353,4,1.0,1.0,36.0,30.0,9.0,9.0,0.0005728459800593555,0.0008788760751485825,0.002296632854267955,0.003217760007828474,0.0010246281744912267,0.0015226302202790976,3146731264.0,1309091584.0,2771477504.0,1891047936.0,0.0016252562636509538,0.03495858982205391
miura_00299,14,1.0,1.0,36.0,36.0,6.0,6.0,0.000979201402515173,0.000740023038815707,0.0057860324159264565,0.004439802374690771,0.003058312926441431,0.0016029066173359752,3510110464.0,3976311296.0,3305906176.0,4344449024.0,0.0005084183067083359,0.0005084183067083359
miura_00583,1,1.0,1.0,24.0,24.0,12.0,12.0,0.0007955332403071225,0.0007638434763066471,0.005276709794998169,0.005060281604528427,0.0029316903091967106,0.0026580768171697855,3830192384.0,4028639744.0,4061518080.0,4192941312.0,0.0007594806374981999,0.0007594806374981999
miura_01290,12,1.0,1.0,30.0,30.0,12.0,12.0,0.0009053120156750083,0.0008043209672905505,0.0038263725582510233,0.0027946829795837402,0.0017610412323847413,0.001029581530019641,1662840320.0,1348986112.0,1290117888.0,2167776768.0,0.003272674046456814,0.04910600557923317
miura_01767,0,1.0,1.0,36.0,24.0,9.0,9.0,0.0008405590779148042,0.0007730584475211799,0.0010493696900084615,0.001056570908986032,0.001841855002567172,0.0012512344401329756,1191687680.0,1506541824.0,3229661440.0,1712187008.0,0.0004141530953347683,0.2962474822998047
miura_00421,4,1.0,1.0,24.0,24.0,6.0,6.0,0.0008409402216784656,0.0007841635379008949,0.0030697607435286045,0.003678042208775878,0.0015406422317028046,0.002038809936493635,1162153984.0,1824381184.0,4968661504.0,4071608832.0,0.0020389282144606113,0.006205595098435879
miura_01589,15,1.0,1.0,30.0,36.0,6.0,6.0,0.000712167180608958,0.0008998144185170531,0.004376545082777739,0.005520009435713291,0.0012889907229691744,0.003316042013466358,4552457728.0,3976215808.0,2093221248.0,2158626560.0,0.003648788435384631,0.003648788435384631
miura_00066,10,1.0,1.0,24.0,24.0,9.0,9.0,0.0008193912799470127,0.0009367520688101649,0.0048073516227304935,0.004876700229942799,0.002251142868772149,0.0022670167963951826,3578892288.0,2299821824.0,2800041984.0,2713214976.0,0.0009054714464582503,0.0009054714464582503
miura_01613,15,1.0,1.0,36.0,24.0,12.0,12.0,0.0005586040788330138,0.0005970742204226553,0.0038698071148246527,0.00582126947119832,0.002839162712916732,0.0028408756479620934,1738334720.0,2167040000.0,2997436928.0,1286703744.0,0.006542741786688566,0.05237607657909393
miura_00057,10,1.0,1.0,36.0,36.0,6.0,6.0,0.0007724798051640391,0.0006101724575273693,0.0024478884879499674,0.0018090552184730768,0.002588221337646246,0.0014860400697216392,3947015680.0,4409851392.0,3384840704.0,4819321856.0,0.00035387344541959465,0.012853873893618584
miura_01999,5,1.0,1.0,24.0,30.0,12.0,12.0,0.0006116394069977105,0.0005792516167275608,0.005857628770172596,0.005289572756737471,0.0030308039858937263,0.0032289442606270313,1475169536.0,1945949824.0,3504165888.0,4340522496.0,0.015567949041724205,0.057234615087509155
miura_01119,14,1.0,1.0,36.0,36.0,9.0,9.0,0.000763692194595933,0.0007502721855416894,0.0024305765982717276,0.002361888764426112,0.0010016943560913205,0.0010020910995081067,3406912512.0,3557810176.0,3291880192.0,3638769408.0,0.001240518526174128,0.03040718473494053
miura_00584,14,1.0,1.0,36.0,36.0,9.0,9.0,0.0007318892749026418,0.0009361261036247015,0.004654326010495424,0.004661767743527889,0.002459855517372489,0.0026281913742423058,3348417792.0,1387932416.0,1209683328.0,1379185664.0,0.002862289547920227,0.03202895447611809
miura_01234,1,1.0,1.0,24.0,24.0,6.0,6.0,0.000550534634385258,0.0007131274323910475,0.005541255697607994,0.005641510244458914,0.00194882124196738,0.0015876305988058448,3803981056.0,1308731520.0,4902670848.0,4463319040.0,0.0037470513489097357,0.01208038441836834
miura_00317,7,1.0,1.0,36.0,30.0,6.0,6.0,0.0005708108656108379,0.0007776397978886962,0.0030502795707434416,0.003362984163686633,0.003291746834293008,0.0023955523502081633,3227206912.0,1038110144.0,4934753280.0,3406899712.0,0.0018872410291805863,0.02688724175095558
miura_00746,9,1.0,1.0,36.0,36.0,9.0,9.0,0.0008923718705773354,0.0005510222399607301,0.0030871855560690165,0.0025010756216943264,0.0024837367236614227,0.0013915712479501963,1295843968.0,2978295296.0,3521412096.0,4605360128.0,0.002753292443230748,0.002753292443230748
miura_00129,4,1.0,1.0,30.0,30.0,6.0,6.0,0.0009797236416488886,0.0007463356014341116,0.002629303140565753,0.0014558486873283982,0.0027973102405667305,0.0011984489392489195,4550394880.0,4183195648.0,2475034880.0,4844810240.0,0.0027827953454107046,0.01944946125149727
miura_01444,13,1.0,1.0,24.0,30.0,6.0,6.0,0.0008160819415934384,0.0008040653192438185,0.0025011724792420864,0.002738428069278598,0.0010166270658373833,0.0018826405284926295,3057813504.0,4710852608.0,3619054848.0,4488890368.0,0.0003314775531180203,0.0003314775531180203
miura_01514,13,1.0,1.0,24.0,24.0,9.0,12.0,0.0005746166571043432,0.0008083495195023715,0.0011405354598537087,0.001000364194624126,0.002237155335023999,0.001729849143885076,4837798912.0,1100342016.0,2717237504.0,2960500992.0,0.0023207361809909344,0.3231540620326996
miura_01801,13,1.0,1.0,36.0,36.0,9.0,9.0,0.0007022615754976869,0.000677241652738303,0.0010308140190318227,0.001000364194624126,0.0030597003642469645,0.003227780107408762,2063560064.0,2609712640.0,4020373248.0,4137537280.0,0.0006671036244370043,0.3006671071052551
miura_00925,10,1.0,1.0,24.0,24.0,12.0,12.0,0.000661896716337651,0.0005310356500558555,0.002512299455702305,0.0034494283609092236,0.0023123600985854864,0.00349382939748466,1012663872.0,3427980288.0,3886471936.0,2581032704.0,0.0012047848431393504,0.10953811556100845
miura_00481,1,1.0,1.0,24.0,30.0,9.0,9.0,0.0009714720072224736,0.0007280670688487589,0.003658200381323695,0.0028491520788520575,0.0012276539346203208,0.0010009445250034332,1030538112.0,1497896832.0,1127456768.0,2035135360.0,0.0015916717238724232,0.034925006330013275
miura_01960,9,1.0,1.0,24.0,24.0,9.0,9.0,0.0008490889449603856,0.0009015974355861545,0.004131335765123367,0.004139994736760855,0.0028427469078451395,0.0027075232937932014,2283188992.0,1751467776.0,4355298304.0,4145506304.0,0.0007554756593890488,0.0007554756593890488
miura_00595,15,1.0,1.0,30.0,36.0,9.0,12.0,0.0005901381373405457,0.0005223423358984292,0.0012435406679287553,0.0012069117510691285,0.0032099115196615458,0.0017696922877803445,3432176640.0,2435934720.0,3748549632.0,3351164928.0,0.0012798322131857276,0.25544649362564087
miura_00100,4,1.0,1.0,30.0,36.0,9.0,9.0,0.0008807730046100914,0.0009177174069918692,0.004316396079957485,0.005474825389683247,0.0012402357533574104,0.0018216004827991128,4756011520.0,4900784640.0,4139560448.0,3369886720.0,0.00466545857489109,0.00466545857489109
miura_00417,3,1.0,1.0,30.0,36.0,9.0,9.0,0.0006181563949212432,0.0005580969154834747,0.005967211909592152,0.005020412150770426,0.0019510546699166298,0.0014332655118778348,3894526208.0,3066848512.0,1502329472.0,2187547904.0,0.004231220576912165,0.004231220576912165
miura_00964,13,1.0,1.0,24.0,30.0,9.0,12.0,0.0006501969182863832,0.0005350766587071121,0.0015693936729803681,0.001945727039128542,0.003965565003454685,0.0037154690362513065,3989462528.0,4963517952.0,4366893056.0,4032827648.0,0.0018382685957476497,0.19767160713672638
miura_00308,8,1.0,1.0,36.0,36.0,9.0,9.0,0.0008083628490567207,0.0005880777025595307,0.00346161681227386,0.0023226006887853146,0.002693255664780736,0.001070730504579842,3985252352.0,4046780416.0,2643820032.0,4204658176.0,0.004311340861022472,0.016811341047286987
miura_00030,3,1.0,1.0,30.0,36.0,9.0,9.0,0.0007329400978051126,0.0007009711116552353,0.004906185902655125,0.004308734089136124,0.0012088791700080037,0.0010009445250034332,4859648512.0,3479413504.0,1924407040.0,2802245888.0,0.007600912358611822,0.01176757924258709
miura_00601,13,1.0,1.0,36.0,36.0,9.0,9.0,0.0008690423564985394,0.000842224049847573,0.005269345827400684,0.00531772943213582,0.00188728841021657,0.0016784814652055502,2033439488.0,1867204352.0,4068958208.0,3664446464.0,0.0016285855090245605,0.0016285855090245605
miura_01720,11,1.0,1.0,36.0,36.0,9.0,9.0,0.0008411318412981927,0.0005702917114831507,0.0035136996302753687,0.0026182392612099648,0.002884145360440016,0.0014127453323453665,1595075456.0,2400763648.0,2667323904.0,3980116224.0,0.003523240564391017,0.01185657363384962
miura_00572,12,1.0,1.0,30.0,24.0,9.0,9.0,0.0005753986188210547,0.0006295637576840818,0.0038724823389202356,0.0036748279817402363,0.003422698238864541,0.0020378471817821264,2630342656.0,1445660928.0,4813289984.0,4001086976.0,0.0019678922835737467,0.026967892423272133
miura_00907,13,1.0,1.0,30.0,30.0,6.0,6.0,0.000981044489890337,0.0008884266717359424,0.005973184015601873,0.00583856925368309,0.0019360738806426525,0.0015757252695038915,1908810752.0,2104477056.0,4460442624.0,4321636864.0,0.0037246865686029196,0.0037246865686029196
miura_01427,10,1.0,1.0,24.0,24.0,9.0,9.0,0.0008700801990926266,0.0005638730362989008,0.002393983770161867,0.001733038341626525,0.0020767461974173784,0.0010009445250034332,1171529984.0,2268636416.0,1148788352.0,1643677440.0,0.0009262573439627886,0.1425929218530655
miura_01261,6,1.0,1.0,24.0,24.0,12.0,12.0,0.0006219602073542774,0.0005656928988173604,0.0014210825320333242,0.0014801087090745568,0.0019285838352516294,0.0025485684163868427,1195375360.0,2333806592.0,3652513280.0,3318979584.0,0.000539180007763207,0.32553917169570923
miura_00847,10,1.0,1.0,24.0,24.0,6.0,6.0,0.0008568317862227559,0.0006559860776178539,0.0016625936841592193,0.0013521068030968308,0.003962945193052292,0.0015223296359181404,2377660160.0,2272270336.0,3716887040.0,3977742336.0,0.0010964806424453855,0.06359647959470749
miura_01291,5,1.0,1.0,24.0,24.0,9.0,9.0,0.0008012690814211965,0.0007311917725019157,0.0025874630082398653,0.0017624428728595376,0.0029849885031580925,0.0012511314125731587,3706889984.0,2285486848.0,3497678336.0,4779080704.0,0.005418618209660053,0.02625195123255253
miura_00810,8,1.0,1.0,30.0,24.0,6.0,6.0,0.0007989423465915024,0.0005226373323239386,0.001911383937112987,0.001773693598806858,0.003066009609028697,0.001411627046763897,2126275840.0,4245416704.0,3946007808.0,3675567360.0,0.004689286928623915,0.021355953067541122
