sample_id,best_candidate,true_pattern,generated_pattern,true_m,generated_m,true_n,generated_n,true_tcrease,generated_tcrease,true_tpanel,generated_tpanel,true_W,generated_W,true_creaseE,generated_creaseE,true_panelE,generated_panelE,closed_loop_scaled_mse
miura_00257,1,1.0,1.0,36.0,24.0,9.0,12.0,0.0008886943687684834,0.0005590321961790323,0.0027388117741793394,0.0036130158696323633,0.0012901617446914315,0.001513332244940102,4863286272.0,3144173568.0,1467752448.0,3319972608.0,0.38749364018440247
miura_00353,0,1.0,1.0,36.0,36.0,9.0,6.0,0.0005728459800593555,0.000615868077147752,0.002296632854267955,0.00380247225984931,0.0010246281744912267,0.002959111239761114,3146731264.0,2927347200.0,2771477504.0,1983537408.0,0.04490849748253822
miura_00299,0,1.0,1.0,36.0,24.0,6.0,9.0,0.000979201402515173,0.0009993299609050155,0.0057860324159264565,0.003701974870637059,0.003058312926441431,0.0011903385166078806,3510110464.0,3688931840.0,3305906176.0,3671132160.0,0.1652926504611969
miura_00583,1,1.0,1.0,24.0,24.0,12.0,6.0,0.0007955332403071225,0.0009445839677937329,0.005276709794998169,0.0053223068825900555,0.0029316903091967106,0.002844030736014247,3830192384.0,3974942208.0,4061518080.0,2438950656.0,0.1764422208070755
miura_01290,0,1.0,1.0,30.0,30.0,12.0,6.0,0.0009053120156750083,0.0009198774350807071,0.0038263725582510233,0.004107899498194456,0.0017610412323847413,0.003994992468506098,1662840320.0,2496651008.0,1290117888.0,2396266496.0,0.050922177731990814
miura_01767,1,1.0,1.0,36.0,30.0,9.0,9.0,0.0008405590779148042,0.0009993299609050155,0.0010493696900084615,0.001182250096462667,0.001841855002567172,0.003191240830346942,1191687680.0,3078799104.0,3229661440.0,2337504256.0,0.03346678987145424
miura_00421,1,1.0,1.0,24.0,24.0,6.0,9.0,0.0008409402216784656,0.0009358974057249725,0.0030697607435286045,0.0049522556364536285,0.0015406422317028046,0.0029970973264425993,1162153984.0,1445012096.0,4968661504.0,3307277056.0,0.0912904366850853
miura_01589,1,1.0,1.0,30.0,30.0,6.0,9.0,0.000712167180608958,0.0009993299609050155,0.004376545082777739,0.003673766041174531,0.0012889907229691744,0.0018813563510775566,4552457728.0,1282137088.0,2093221248.0,3856167424.0,0.06479500979185104
miura_00066,0,1.0,1.0,24.0,24.0,9.0,9.0,0.0008193912799470127,0.0007303854217752814,0.0048073516227304935,0.004075891803950071,0.002251142868772149,0.002149595646187663,3578892288.0,2850851328.0,2800041984.0,4996423680.0,0.1181357130408287
miura_01613,0,1.0,1.0,36.0,24.0,12.0,9.0,0.0005586040788330138,0.0005977401160635054,0.0038698071148246527,0.0026410799473524094,0.002839162712916732,0.0014883055118843913,1738334720.0,1447726720.0,2997436928.0,3640877312.0,0.035538628697395325
miura_00057,0,1.0,1.0,36.0,24.0,6.0,6.0,0.0007724798051640391,0.0008761507924646139,0.0024478884879499674,0.0025601794477552176,0.002588221337646246,0.0029008511919528246,3947015680.0,1514352000.0,3384840704.0,2979708672.0,0.04628937318921089
miura_01999,0,1.0,1.0,24.0,24.0,12.0,6.0,0.0006116394069977105,0.0009666287223808467,0.005857628770172596,0.005092797335237265,0.0030308039858937263,0.0023217536509037018,1475169536.0,3078753280.0,3504165888.0,4003937536.0,1.8133119344711304
miura_01119,0,1.0,1.0,36.0,36.0,9.0,12.0,0.000763692194595933,0.0007705138414166868,0.0024305765982717276,0.0028985668905079365,0.0010016943560913205,0.0018704045796766877,3406912512.0,3138999296.0,3291880192.0,4996423680.0,0.028396984562277794
miura_00584,0,1.0,1.0,36.0,24.0,9.0,6.0,0.0007318892749026418,0.0008296046871691942,0.004654326010495424,0.004321071784943342,0.002459855517372489,0.002397609641775489,3348417792.0,1006209344.0,1209683328.0,1844107520.0,0.1148565262556076
miura_01234,0,1.0,1.0,24.0,24.0,6.0,6.0,0.000550534634385258,0.0007326697232201695,0.005541255697607994,0.005404308438301086,0.00194882124196738,0.0019854146521538496,3803981056.0,4476871168.0,4902670848.0,3165153024.0,0.10597413033246994
miura_00317,1,1.0,1.0,36.0,36.0,6.0,9.0,0.0005708108656108379,0.0007965061231516302,0.0030502795707434416,0.003330770879983902,0.003291746834293008,0.002877658000215888,3227206912.0,2005630848.0,4934753280.0,3967402240.0,0.03854435682296753
miura_00746,1,1.0,1.0,36.0,36.0,9.0,6.0,0.0008923718705773354,0.0007115163025446236,0.0030871855560690165,0.0041716271080076694,0.0024837367236614227,0.0014515466755256057,1295843968.0,3428197888.0,3521412096.0,1002466624.0,0.04368394985795021
miura_00129,1,1.0,1.0,30.0,30.0,6.0,6.0,0.0009797236416488886,0.0009993299609050155,0.002629303140565753,0.0022133782040327787,0.0027973102405667305,0.0032767499797046185,4550394880.0,3580930816.0,2475034880.0,3452615168.0,0.009579924866557121
miura_01444,0,1.0,1.0,24.0,30.0,6.0,6.0,0.0008160819415934384,0.0008107561734504998,0.0025011724792420864,0.0036882294807583094,0.0010166270658373833,0.0025793772656470537,3057813504.0,1228870144.0,3619054848.0,4949753856.0,0.2569580376148224
miura_01514,0,1.0,1.0,24.0,36.0,9.0,9.0,0.0005746166571043432,0.0008562704315409064,0.0011405354598537087,0.0016931176651269197,0.002237155335023999,0.002370739122852683,4837798912.0,1058785856.0,2717237504.0,2270468608.0,0.0018792863702401519
miura_01801,1,1.0,1.0,36.0,24.0,9.0,12.0,0.0007022615754976869,0.0007393487612716854,0.0010308140190318227,0.001000364194624126,0.0030597003642469645,0.0026701984461396933,2063560064.0,1675575552.0,4020373248.0,3120724480.0,0.002207726938650012
miura_00925,0,1.0,1.0,24.0,24.0,12.0,9.0,0.000661896716337651,0.0005710056866519153,0.002512299455702305,0.0035217057447880507,0.0023123600985854864,0.0029672759119421244,1012663872.0,1960839680.0,3886471936.0,1080628480.0,0.014640583656728268
miura_00481,1,1.0,1.0,24.0,30.0,9.0,6.0,0.0009714720072224736,0.0009558011079207063,0.003658200381323695,0.003174333367496729,0.0012276539346203208,0.0031198204960674047,1030538112.0,1340348032.0,1127456768.0,2843055104.0,0.02236417680978775
miura_01960,1,1.0,1.0,24.0,24.0,9.0,9.0,0.0008490889449603856,0.0006752545014023781,0.004131335765123367,0.005275889299809933,0.0028427469078451395,0.0029036204796284437,2283188992.0,3698915584.0,4355298304.0,2563351296.0,0.030619928613305092
miura_00595,1,1.0,1.0,30.0,24.0,9.0,12.0,0.0005901381373405457,0.0008565275929868221,0.0012435406679287553,0.0032209414057433605,0.0032099115196615458,0.003245187923312187,3432176640.0,2018341504.0,3748549632.0,1010499136.0,0.01991899497807026
miura_00100,0,1.0,1.0,30.0,24.0,9.0,9.0,0.0008807730046100914,0.0008763550431467593,0.004316396079957485,0.004799477756023407,0.0012402357533574104,0.0020606457255780697,4756011520.0,3330161408.0,4139560448.0,4976898560.0,0.20330382883548737
miura_00417,1,1.0,1.0,30.0,36.0,9.0,6.0,0.0006181563949212432,0.000748656690120697,0.005967211909592152,0.004301559180021286,0.0019510546699166298,0.001894562505185604,3894526208.0,2450121216.0,1502329472.0,3943902464.0,0.10581057518720627
miura_00964,1,1.0,1.0,24.0,24.0,9.0,9.0,0.0006501969182863832,0.0007135672494769096,0.0015693936729803681,0.001000364194624126,0.003965565003454685,0.002158840885385871,3989462528.0,3168854528.0,4366893056.0,3555099392.0,0.011192080564796925
miura_00308,1,1.0,1.0,36.0,24.0,9.0,9.0,0.0008083628490567207,0.0009993299609050155,0.00346161681227386,0.0031265676952898502,0.002693255664780736,0.0028705683071166277,3985252352.0,3242124800.0,2643820032.0,2426885376.0,0.019456474110484123
miura_00030,1,1.0,1.0,30.0,24.0,9.0,9.0,0.0007329400978051126,0.0008318700129166245,0.004906185902655125,0.0044203815050423145,0.0012088791700080037,0.0010964461835101247,4859648512.0,3473552128.0,1924407040.0,2612935680.0,0.03992161527276039
miura_00601,1,1.0,1.0,36.0,30.0,9.0,6.0,0.0008690423564985394,0.0008428775472566485,0.005269345827400684,0.004781514871865511,0.00188728841021657,0.0019685549195855856,2033439488.0,3130621184.0,4068958208.0,4987150848.0,0.06935008615255356
miura_01720,1,1.0,1.0,36.0,30.0,9.0,9.0,0.0008411318412981927,0.0006082808831706643,0.0035136996302753687,0.005208331625908613,0.002884145360440016,0.002502111019566655,1595075456.0,2534308608.0,2667323904.0,1002466624.0,0.0201068427413702
miura_00572,0,1.0,1.0,30.0,24.0,9.0,12.0,0.0005753986188210547,0.0008400626247748733,0.0038724823389202356,0.003911052364856005,0.003422698238864541,0.0012021868024021387,2630342656.0,1395314560.0,4813289984.0,3760164352.0,0.5428425073623657
miura_00907,0,1.0,1.0,30.0,36.0,6.0,9.0,0.000981044489890337,0.0007181257242336869,0.005973184015601873,0.0046264659613370895,0.0019360738806426525,0.001268375781364739,1908810752.0,4581716480.0,4460442624.0,4787238912.0,0.1260121464729309
miura_01427,0,1.0,1.0,24.0,24.0,9.0,9.0,0.0008700801990926266,0.0008568183402530849,0.002393983770161867,0.0019595688208937645,0.0020767461974173784,0.003137727500870824,1171529984.0,3176217088.0,1148788352.0,1891922176.0,0.022461356595158577
miura_01261,1,1.0,1.0,24.0,36.0,12.0,9.0,0.0006219602073542774,0.0006234908942133188,0.0014210825320333242,0.0021503118332475424,0.0019285838352516294,0.001816067728213966,1195375360.0,1047349952.0,3652513280.0,2482056448.0,0.016010897234082222
miura_00847,0,1.0,1.0,24.0,36.0,6.0,9.0,0.0008568317862227559,0.0007704253075644374,0.0016625936841592193,0.001000364194624126,0.003962945193052292,0.0026374487206339836,2377660160.0,2120635904.0,3716887040.0,3344921856.0,0.0033025385346263647
miura_01291,0,1.0,1.0,24.0,24.0,9.0,12.0,0.0008012690814211965,0.0007628668681718409,0.0025874630082398653,0.0025173239409923553,0.0029849885031580925,0.002092239446938038,3706889984.0,2754679552.0,3497678336.0,2303412736.0,0.0025432747788727283
miura_00810,1,1.0,1.0,30.0,24.0,6.0,12.0,0.0007989423465915024,0.0006720051751472056,0.001911383937112987,0.0018663285300135612,0.003066009609028697,0.002072345232591033,2126275840.0,3874523904.0,3946007808.0,1136139520.0,0.017582861706614494
miura_01567,0,1.0,1.0,30.0,24.0,9.0,9.0,0.0006819266127422452,0.0006027718191035092,0.003212700132280588,0.0012459916761144996,0.0033666060771793127,0.002138749696314335,1071084672.0,1988739456.0,1214124416.0,3661304320.0,0.04098384827375412
miura_00125,0,1.0,1.0,36.0,30.0,9.0,9.0,0.0009470743243582547,0.0007433057762682438,0.0048785945400595665,0.005278576165437698,0.0015830608317628503,0.0019278721883893013,3508863488.0,4818257408.0,3515150592.0,4059606272.0,0.18991152942180634
miura_01608,1,1.0,1.0,36.0,30.0,6.0,9.0,0.0005604412872344255,0.000862417567986995,0.0013304059393703938,0.003277604468166828,0.00289151375181973,0.00304143107496202,4559291904.0,2634785536.0,1590562688.0,1002466624.0,0.05184173211455345
miura_00529,0,1.0,1.0,30.0,24.0,12.0,12.0,0.0007955521577969193,0.0006802292191423476,0.0014447577996179461,0.002471150830388069,0.003067260142415762,0.0027230901177972555,2376334080.0,4218316288.0,1793810048.0,1325810816.0,0.013804154470562935
miura_00986,1,1.0,1.0,24.0,24.0,9.0,12.0,0.000563487526960671,0.0007502271910198033,0.005288991611450911,0.005798874422907829,0.001109856297262013,0.0027768758591264486,4070425600.0,2149507328.0,2628246784.0,4412607488.0,0.15099814534187317
miura_01294,1,1.0,1.0,36.0,36.0,12.0,9.0,0.0007132921018637717,0.0009449219796806574,0.0016388202784582973,0.0027644287329167128,0.00140871643088758,0.00205594371072948,3695821568.0,1574753152.0,2862989824.0,3343127296.0,0.03206261992454529
