sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00003,0,bending,0.3,z,1,0.1,1.9954276713627e-07,-0.1,-1.9954276713627e-07,1
miura_00003,0,bending,0.3,z,2,0.2,3.99027539306371e-07,-0.2,-3.99027539306371e-07,1
miura_00003,0,bending,0.3,z,3,0.3,5.98504663156011e-07,-0.3,-5.98504663156011e-07,1
miura_00003,0,bending,0.3,z,4,0.4,7.97991603099882e-07,-0.4,-7.97991603099882e-07,1
miura_00003,0,bending,0.3,z,5,0.5,9.97467703101864e-07,-0.5,-9.97467703101864e-07,1
miura_00003,0,bending,0.3,z,6,0.6,1.19695375541607e-06,-0.6,-1.19695375541607e-06,1
miura_00003,0,bending,0.3,z,7,0.7,1.39643647729298e-06,-0.7,-1.39643647729298e-06,1
miura_00003,0,bending,0.3,z,8,0.8,1.59591823939944e-06,-0.8,-1.59591823939944e-06,1
miura_00003,0,bending,0.3,z,9,0.9,1.79539866626994e-06,-0.9,-1.79539866626994e-06,1
miura_00003,0,bending,0.3,z,10,1,1.9948835162316e-06,-1,-1.9948835162316e-06,1
miura_00003,0,bending,0.3,z,11,1.1,2.1943652024497e-06,-1.1,-2.1943652024497e-06,1
miura_00003,0,bending,0.3,z,12,1.2,2.39384879740343e-06,-1.2,-2.39384879740343e-06,1
miura_00003,0,bending,0.3,z,13,1.3,2.59333122898194e-06,-1.3,-2.59333122898194e-06,1
miura_00003,0,bending,0.3,z,14,1.4,2.79281383641244e-06,-1.4,-2.79281383641244e-06,1
miura_00003,0,bending,0.3,z,15,1.5,2.99229680329926e-06,-1.5,-2.99229680329926e-06,1
miura_00003,0,bending,0.3,z,16,1.6,3.19178079757616e-06,-1.6,-3.19178079757616e-06,1
miura_00003,0,bending,0.3,z,17,1.7,3.39126460490445e-06,-1.7,-3.39126460490445e-06,1
miura_00003,0,bending,0.3,z,18,1.8,3.59074701849582e-06,-1.8,-3.59074701849582e-06,1
