sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,disp_final
miura_00001,miura,1,0,bending,0.3,133869.551931075,133799.3787860508,0.0005241904825402198,0.00016334102310348303,0.0002242162876404
miura_00001,miura,1,1,bending,0.6,40705.0730782034,40698.096085434045,0.00017140351906386861,5.327897162546721e-05,0.000737135219717
miura_00001,miura,1,2,bending,0.9,18639.255146931,18641.362082032752,0.00011303751599220817,3.5430997639569884e-05,0.0016093244618061
miura_00001,miura,1,3,axial,0.3,12418.981920453,12545.75854662497,0.010208294607723005,0.0032551100207155455,0.0023912464031974
miura_00001,miura,1,4,axial,0.6,23592.906128434,23956.761135973793,0.015422220796329916,0.004907566594774472,0.0012522560887812
miura_00001,miura,1,5,axial,0.9,250199.689454778,252261.54790917953,0.008240851373135637,0.002632818224023356,0.0001189241889961
miura_00002,miura,1,0,bending,0.3,383991.359302586,383991.59595330985,6.162917943710272e-07,4.768732321874628e-06,7.81267098450971e-05
miura_00002,miura,1,1,bending,0.6,167436.945540865,167414.16551911389,0.00013605134564262066,4.2989159584500526e-05,0.0001791963058023
miura_00002,miura,1,2,bending,0.9,50796.9204307806,50790.907812712125,0.00011836579890050429,3.795526508752089e-05,0.000590656896912
miura_00002,miura,1,3,axial,0.3,27604.6091651444,27778.848011994174,0.006311947610175932,0.002019380892370895,0.0010799583908968
miura_00002,miura,1,4,axial,0.6,55164.2092642921,55462.39858012389,0.005405485183394249,0.001729086716385131,0.0005409070066932
miura_00002,miura,1,5,axial,0.9,408322.029621885,409256.4474808754,0.0022884336166131528,0.000729879224172941,7.33036710469953e-05
miura_00003,miura,1,0,bending,0.3,501290.919216185,501272.37810997554,3.698671868710624e-05,1.1882855663062844e-05,5.98477021876083e-05
miura_00003,miura,1,1,bending,0.6,148242.860099923,148235.2571881776,5.128686629681227e-05,1.7287848760041978e-05,0.0002023810027996
