sample_id,source_name,mtime,rows,size
miura_00001,miura,1778754226.1779873,180,14604
miura_00002,miura,1778754298.7996674,180,14666
miura_00003,miura,1778754384.7044473,180,14676
miura_00004,miura,1778754433.2720575,180,14572
miura_00005,miura,1778754496.1952424,180,14596
miura_00006,miura,1778754580.457111,180,14558
miura_00007,miura,1778754609.9422398,180,14656
miura_00008,miura,1778754671.2378266,180,14496
miura_00009,miura,1778754704.3612092,180,14598
miura_00010,miura,1778754740.382916,180,14590
miura_00011,miura,1778754769.515555,180,14682
miura_00012,miura,1778754822.383299,180,14616
miura_00013,miura,1778754878.2862267,180,14420
miura_00014,miura,1778754900.475466,180,14586
miura_00015,miura,1778754963.0298717,180,14476
miura_00016,miura,1778755009.8791175,180,14690
miura_00017,miura,1778755034.250842,180,14600
miura_00018,miura,1778755051.550863,180,14638
miura_00019,miura,1778755147.142674,180,14518
miura_00020,miura,1778755207.755883,180,14660
miura_00021,miura,1778759222.1334686,180,14630
miura_00022,miura,1778759371.5357394,180,14600
miura_00023,miura,1778759468.1415546,180,14432
miura_00024,miura,1778759517.3113246,180,14644
miura_00025,miura,1778759792.9894774,180,14516
miura_00026,miura,1778759928.1898205,180,14696
tmp_00001,tmp,1778756653.5748532,180,14190
tmp_00002,tmp,1778756894.3914125,180,14130
tmp_00003,tmp,1778757397.7911675,180,14066
