sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,force_final,disp_final,disp_min,disp_max
miura_00001,miura,1,0,bending,0.3,133869.551931075,133869.5515713811,2.686898448379067e-09,4.313661024398839e-05,3.0,2.24098756198519e-05,7.47157290811939e-07,2.24098756198519e-05
miura_00001,miura,1,1,bending,0.6,40705.0730782034,40705.07307858358,9.33977100515939e-12,9.857522040885462e-06,3.0,7.37008872139431e-05,2.45681810599512e-06,7.37008872139431e-05
miura_00001,miura,1,2,bending,0.9,18639.255146931,18639.255133910647,6.985446314133816e-10,2.032880789194706e-06,3.0,0.000160950637697,5.36499012001663e-06,0.000160950637697
miura_00001,miura,1,3,axial,0.3,12418.981920453,12418.981922483179,1.634739097994989e-10,0.00032235298968261427,3.0,0.0002415656950566,8.06080272995246e-06,0.0002415656950566
miura_00001,miura,1,4,axial,0.6,23592.906128434,23592.90614240403,5.921284709929132e-10,0.0004986679284936365,3.0,0.0001271568657923,4.24576696450748e-06,0.0001271568657923
miura_00001,miura,1,5,axial,0.9,250199.689454778,250199.68974427652,1.157069814276039e-09,0.00029246988980610554,3.0,1.1990422542355e-05,4.00117709030701e-07,1.1990422542355e-05
miura_00002,miura,1,0,bending,0.3,383991.359302586,383991.3464714843,3.341507929031835e-08,6.171601346324478e-05,3.0,7.81267606045592e-06,2.60506662817938e-07,7.81267606045592e-06
miura_00002,miura,1,1,bending,0.6,167436.945540865,167436.9443088055,7.358349101938075e-09,0.0001449922189626719,3.0,1.79171927222171e-05,5.97680992473035e-07,1.79171927222171e-05
miura_00002,miura,1,2,bending,0.9,50796.9204307806,50796.92046962922,7.647830227376477e-10,3.4177512308579843e-06,3.0,5.9058698288485e-05,1.96859956166895e-06,5.9058698288485e-05
miura_00002,miura,1,3,axial,0.3,27604.6091651444,27604.609115951556,1.7820518205002378e-09,0.00020384878259248286,3.0,0.0001086775033618,3.62503054624507e-06,0.0001086775033618
miura_00002,miura,1,4,axial,0.6,55164.2092642921,55164.20961282787,6.318150454040989e-09,0.00020538059404867734,3.0,5.43830868067469e-05,1.8142390062627e-06,5.43830868067469e-05
miura_00002,miura,1,5,axial,0.9,408322.029621885,408322.0192954947,2.5289819118105214e-08,0.00019152783784758017,3.0,7.34714234901194e-06,2.44677474191158e-07,7.34714234901194e-06
miura_00003,miura,1,0,bending,0.3,501290.919216185,501290.89813142474,4.2060925999769936e-08,5.725169021148689e-05,3.0,5.98454911346402e-06,1.9954276713627e-07,5.98454911346402e-06
miura_00003,miura,1,1,bending,0.6,148242.860099923,148242.8560283162,2.746578698726962e-08,5.3174093629700465e-05,3.0,2.02370628870437e-05,6.74385505703349e-07,2.02370628870437e-05
miura_00003,miura,1,2,bending,0.9,42065.6466622647,42065.64674227977,1.9021477170107246e-09,1.128891682944487e-05,3.0,7.13171015384563e-05,2.37736833555751e-06,7.13171015384563e-05
miura_00003,miura,1,3,axial,0.3,38814.6635536106,38814.663581722954,7.242715759133952e-10,0.00011330965543460798,3.0,7.72903774802428e-05,2.57727917835725e-06,7.72903774802428e-05
miura_00003,miura,1,4,axial,0.6,74855.7416017229,74855.74184846976,3.2962983625000397e-09,0.00016931762232123013,3.0,4.00770859511738e-05,1.336839694833e-06,4.00770859511738e-05
miura_00003,miura,1,5,axial,0.9,616917.192224209,616917.100661008,1.4842056937531784e-07,7.052815857494664e-05,3.0,4.86289000059423e-06,1.62145290738362e-07,4.86289000059423e-06
miura_00004,miura,1,0,bending,0.3,20123.0417247731,20123.04172428006,2.4501120882939665e-11,5.096324469923324e-06,3.0,0.0001490828295794,4.96933626090943e-06,0.0001490828295794
miura_00004,miura,1,1,bending,0.6,6830.27008845333,6830.270088342363,1.624628859936355e-11,2.5010350567235685e-06,3.0,0.0004392212842535,1.46406613873564e-05,0.0004392212842535
miura_00004,miura,1,2,bending,0.9,5456.1407822165,5456.140782182432,6.2439467562951405e-12,3.194131312541688e-06,3.0,0.0005498391848313,1.83280703965873e-05,0.0005498391848313
miura_00004,miura,1,3,axial,0.3,44203.7061503281,44203.70621138188,1.3811914886471377e-09,0.00014590098752938088,3.0,6.78676124045802e-05,2.26336737315035e-06,6.78676124045802e-05
miura_00004,miura,1,4,axial,0.6,69487.8254479921,69487.82545493564,9.992446328462926e-11,0.00013091111149642623,3.0,4.31730303885472e-05,1.43973608353605e-06,4.31730303885472e-05
miura_00004,miura,1,5,axial,0.9,296683.396228401,296683.39641182416,6.182454714184876e-10,0.00011140532780178441,3.0,1.01117893224996e-05,3.37190249755469e-07,1.01117893224996e-05
miura_00005,miura,1,0,bending,0.3,228927.357393849,228927.3568476331,2.385979090040503e-09,2.2417102531399812e-05,3.0,1.31045937074122e-05,4.36869920637139e-07,1.31045937074122e-05
miura_00005,miura,1,1,bending,0.6,69206.1216586128,69206.12186556887,2.990430144057242e-09,2.4191319709876424e-05,3.0,4.33487662526073e-05,1.44478213042427e-06,4.33487662526073e-05
miura_00005,miura,1,2,bending,0.9,25371.6651515964,25371.665162141835,4.1563825515428863e-10,5.918633397117735e-06,3.0,0.0001182421406253,3.94152256381571e-06,0.0001182421406253
miura_00005,miura,1,3,axial,0.3,8075.66071832058,8075.660720736096,2.99110642306012e-10,0.0006312285683207387,3.0,0.0003714866317126,1.24089847402108e-05,0.0003714866317126
miura_00005,miura,1,4,axial,0.6,18943.9415701235,18943.94158624009,8.50751572779428e-10,0.0007801844720075007,3.0,0.0001583619747951,5.29283919890551e-06,0.0001583619747951
miura_00005,miura,1,5,axial,0.9,274652.436708387,274652.43705606763,1.26589317477154e-09,0.0002167515656428044,3.0,1.09228959777538e-05,3.64333585526423e-07,1.09228959777538e-05
miura_00006,miura,1,0,bending,0.3,68335.8668182171,68335.86681209703,8.955867787620265e-11,6.930007952691808e-05,3.0,4.39008113886825e-05,1.46387036269239e-06,4.39008113886825e-05
miura_00006,miura,1,1,bending,0.6,20410.1632919412,20410.163301624452,4.744328454444584e-10,1.3016220650122162e-05,3.0,0.0001469855951501,4.89952760379829e-06,0.0001469855951501
miura_00006,miura,1,2,bending,0.9,9973.16666617711,9973.166669635735,3.467930245908985e-10,3.0203587749658586e-05,3.0,0.0003008071658056,1.00280907652913e-05,0.0003008071658056
miura_00006,miura,1,3,axial,0.3,13106.8232391777,13106.823237779116,1.0670660213207262e-10,0.00029663974961023604,3.0,0.0002288884152609,7.63713331095731e-06,0.0002288884152609
miura_00006,miura,1,4,axial,0.6,23300.6760413162,23300.6760537799,5.349071066050548e-10,0.0004517958192402951,3.0,0.0001287516290547,4.29817892916462e-06,0.0001287516290547
miura_00006,miura,1,5,axial,0.9,212163.799022804,212163.79821480508,3.808373240308746e-09,0.0003105304105377984,3.0,1.41400183501742e-05,4.7178123074977e-07,1.41400183501742e-05
miura_00007,miura,1,0,bending,0.3,216144.766237766,216144.7649131859,6.1282079745185115e-09,8.18658413319389e-05,3.0,1.38795866798113e-05,4.6284771786508e-07,1.38795866798113e-05
miura_00007,miura,1,1,bending,0.6,60676.6357373499,60676.635710609036,4.407110089932116e-10,1.7587141994731697e-05,3.0,4.94424248290263e-05,1.64822962482938e-06,4.94424248290263e-05
miura_00007,miura,1,2,bending,0.9,18508.191305863,18508.191309066235,1.7307110191107238e-10,3.5199488356979346e-06,3.0,0.0001620903928376,5.40291927157667e-06,0.0001620903928376
miura_00007,miura,1,3,axial,0.3,52470.936717988,52470.936927080096,3.984912603898618e-09,9.444259106409643e-05,3.0,5.71745079408275e-05,1.90640626497881e-06,5.71745079408275e-05
miura_00007,miura,1,4,axial,0.6,87465.9214841538,87465.92180285713,3.6437428835128736e-09,0.00010938316104942697,3.0,3.42990725777957e-05,1.1437747433851e-06,3.42990725777957e-05
miura_00007,miura,1,5,axial,0.9,459509.656847598,459509.6588567137,4.372303554000399e-09,0.0001121760801104953,3.0,6.5286984553582e-06,2.17729905130616e-07,6.5286984553582e-06
miura_00008,miura,1,0,bending,0.3,6933.11314155766,6933.113139228702,3.359181505750851e-10,8.467413015207736e-05,3.0,0.0004327060499021,1.44273288424093e-05,0.0004327060499021
miura_00008,miura,1,1,bending,0.6,2650.17092496789,2650.1709240829814,3.339063069141373e-10,5.319188050361695e-05,3.0,0.0011320024579313,3.77400447976922e-05,0.0011320024579313
miura_00008,miura,1,2,bending,0.9,3197.13297805199,3197.132978145011,2.909508143676219e-11,5.7815381045241944e-05,3.0,0.0009383407010304,3.12719829277103e-05,0.0009383407010304
miura_00008,miura,1,3,axial,0.3,62164.6987230109,62164.69872429677,2.0684934369689845e-11,0.0001380663717577747,3.0,4.82589003335339e-05,1.60937643011962e-06,4.82589003335339e-05
miura_00008,miura,1,4,axial,0.6,100070.294457203,100070.29446249094,5.284233192220277e-11,0.0001271972442876823,3.0,2.9978926474774e-05,9.99734310348352e-07,2.9978926474774e-05
miura_00008,miura,1,5,axial,0.9,450372.345177969,450372.34533441975,3.473808445418144e-10,8.685115028766649e-05,3.0,6.66115500003087e-06,2.22104906446659e-07,6.66115500003087e-06
miura_00009,miura,1,0,bending,0.3,164919.225992508,164919.224683623,7.936521576831197e-09,5.4571122454346335e-05,3.0,1.81907234026544e-05,6.06524380014198e-07,1.81907234026544e-05
miura_00009,miura,1,1,bending,0.6,50627.6409180823,50627.64100248101,1.6670479944952558e-09,1.2513564410639916e-05,3.0,5.92561679864362e-05,1.97533068292224e-06,5.92561679864362e-05
miura_00009,miura,1,2,bending,0.9,24354.4658821746,24354.465945155538,2.586011813834411e-09,2.485499896133041e-06,3.0,0.0001231806932969,4.10598119185684e-06,0.0001231806932969
miura_00009,miura,1,3,axial,0.3,9943.96183939382,9943.961838497376,9.014952664552196e-11,0.0004304128753467497,3.0,0.0003016906187618,1.0070717737657e-05,0.0003016906187618
miura_00009,miura,1,4,axial,0.6,20389.0455757056,20389.045567079975,4.230519713006774e-10,0.0006670941219954161,3.0,0.0001471378338986,4.91573527191823e-06,0.0001471378338986
miura_00009,miura,1,5,axial,0.9,282417.4329335,282417.43351049785,2.0430674845788157e-09,0.0002973999441777774,3.0,1.0622573694228e-05,3.54488934954894e-07,1.0622573694228e-05
