sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max
miura_00001,miura,1,0,bending,0.3,133869.551931075,72681.04156997372,0.45707563429065046,0.17960418853788507,0.4569023240285116,0.8418771806151399,1338.69551931075,1338.69551931075,0.0184187718061514,0.0001667198693695,0.0184187718061514
miura_00001,miura,1,1,bending,0.6,40705.0730782034,39742.981630656206,0.023635664421945767,0.007259289719613336,0.023625680995462583,0.024207832630379924,407.050730782034,407.050730782034,0.0102420783263038,0.0001666683708506,0.0102420783263038
miura_00001,miura,1,2,bending,0.9,18639.255146931,18684.148331038938,0.0024085288684580876,0.000721591495666962,0.002408259866315321,0.0024027417954800736,186.39255146931,186.39255146931,0.0099759725820452,0.0001666666219407,0.0099759725820452
miura_00001,miura,1,3,axial,0.3,12418.981920453,13006.040359389908,0.047271059954606565,0.013657253305554848,0.04763636375911551,0.045137368692929974,124.18981920453,124.18981920453,0.0095486263130707,0.000166724802492,0.0095486263130707
miura_00001,miura,1,4,axial,0.6,23592.906128434,26819.25418040753,0.13675076882898965,0.03745461032891774,0.13614789836918506,0.12029969328269005,235.92906128434,235.92906128434,0.0087970030671731,0.0001665782757786,0.0087970030671731
miura_00001,miura,1,5,axial,0.9,250199.689454778,410608.3757530574,0.6411226434686373,0.13701634600991597,0.6219902355712716,0.39066101855347996,2501.99689454778,2501.99689454778,0.0060933898144652,0.0001647236463432,0.0060933898144652
miura_00002,miura,1,0,bending,0.3,383991.359302586,341874.05055546877,0.10968295959474626,0.03398165049335212,0.10966248198283646,0.12319539514241001,3839.91359302586,3839.91359302586,0.0112319539514241,0.0001666705000599,0.0112319539514241
miura_00002,miura,1,1,bending,0.6,167436.945540865,160788.5270905549,0.03970699793187204,0.012042662045824886,0.039588569713463584,0.04134883608061005,1674.36945540865,1674.36945540865,0.0104134883608061,0.0001666872208479,0.0104134883608061
miura_00002,miura,1,2,bending,0.9,50796.9204307806,50701.31274306746,0.001882155195676152,0.000547772658007919,0.0018581587235290131,0.0018857043839800133,507.969204307806,507.969204307806,0.0100188570438398,0.0001666706736204,0.0100188570438398
miura_00002,miura,1,3,axial,0.3,27604.6091651444,29240.58080393363,0.059264437652496345,0.01671269420354578,0.05886318653043188,0.05594867112109978,276.046091651444,276.046091651444,0.009440513288789,0.0001666035330575,0.009440513288789
miura_00002,miura,1,4,axial,0.6,55164.2092642921,61289.433445942464,0.11103620016203579,0.030522454586138746,0.10965667285272529,0.09993931804008008,551.642092642921,551.642092642921,0.0090006068195992,0.0001664597236182,0.0090006068195992
miura_00002,miura,1,5,axial,0.9,408322.029621885,538340.9107252945,0.318422401122491,0.07858016836301723,0.3111380474356029,0.24151774184919,4083.22029621885,4083.22029621885,0.0075848225815081,0.0001657458244944,0.0075848225815081
miura_00003,miura,1,0,bending,0.3,501290.919216185,311987.12099979614,0.37763261004684257,0.13426766713016963,0.37751127869044754,0.60676798968414,5012.90919216185,5012.90919216185,0.0160676798968414,0.0001666991585566,0.0160676798968414
miura_00003,miura,1,1,bending,0.6,148242.860099923,143251.50306186854,0.03367013449882206,0.010326699650559198,0.033630575889646463,0.03484331355251997,1482.42860099923,1482.42860099923,0.0103484331355252,0.0001666734894937,0.0103484331355252
miura_00003,miura,1,2,bending,0.9,42065.6466622647,42110.31806446853,0.001061944977631865,0.000326439648567035,0.0010628159161394368,0.0010608184468100933,420.656466622647,420.656466622647,0.0099893918155319,0.0001666668116691,0.0099893918155319
miura_00003,miura,1,3,axial,0.3,38814.6635536106,40779.21770162659,0.05061371059683576,0.014318113998314683,0.050119914186051995,0.04817537605528009,388.146635536106,388.146635536106,0.0095182462394472,0.0001665883320695,0.0095182462394472
miura_00003,miura,1,4,axial,0.6,74855.7416017229,83727.46377204405,0.11851759104230103,0.0324367778018821,0.11687334337550892,0.10595952356177016,748.557416017229,748.557416017229,0.0089404047643823,0.0001664216626721,0.0089404047643823
miura_00003,miura,1,5,axial,0.9,616917.192224209,881900.9204958326,0.4295288437598273,0.1004215729827707,0.41811777686989626,0.30046881924405,6169.17192224209,6169.17192224209,0.0069953118075595,0.0001653362671508,0.0069953118075595
