name,hidden,dropout,lr,epochs,best_val_total,best_epoch,last_val_total,best_train_total,last_train_total
h192_d0p12_lr0p0002,192,0.12,0.0002,257,0.0006426508538424,197,0.0007207004004158,0.005011261627078,0.0053081330377608
h128_d0p12_lr0p0002,128,0.12,0.0002,300,0.0008054887643083,280,0.0009087608894333,0.0066683137323707,0.0070531024597585
h192_d0p15_lr0p0002,192,0.15,0.0002,216,0.0009076875867322,156,0.0011951977852731,0.006233449652791,0.0065176321193575
h160_d0p12_lr0p0003,160,0.12,0.0003,247,0.0009568468434736,187,0.0014245840488001,0.0052814002614468,0.0054218298755586
h128_d0p12_lr0p0003,128,0.12,0.0003,250,0.0009867710643447,190,0.0013827196788042,0.0064547424670308,0.0067169262096285
h160_d0p12_lr0p0002,160,0.12,0.0002,291,0.001008043217007,231,0.0015890734735876,0.0048636504914611,0.0050477736629545
h192_d0p15_lr0p0003,192,0.15,0.0003,148,0.001034857193008,88,0.0015803398098796,0.0061945128254592,0.0063519295305013
h192_d0p12_lr0p0003,192,0.12,0.0003,226,0.0010857539717108,166,0.0021401930600404,0.0039622899144887,0.0041452242527157
h160_d0p15_lr0p0002,160,0.15,0.0002,245,0.0011039337608963,185,0.0016713879071176,0.0067014631815254,0.0068728028330951
h128_d0p15_lr0p0002,128,0.15,0.0002,299,0.0011102822842076,239,0.0017389456508681,0.0079657254274934,0.0083462842274457
h160_d0p15_lr0p0003,160,0.15,0.0003,169,0.0012491425266489,109,0.0017642223043367,0.0067158069927245,0.0067158069927245
h128_d0p15_lr0p0003,128,0.15,0.0003,209,0.001270050718449,149,0.0021901328582316,0.0080739415716379,0.0082282587885856
